event_type,period,timestamp,possession_team,player,outcome,start_location_x,start_location_y
pass,1,00:05:27.060,Brazil,Marcelo Vieira da Silva Júnior,Complete,39.0,5.0
pass,1,00:06:04.700,Brazil,José Paulo Bezzera Maciel Júnior,Complete,58.0,34.0
pass,1,00:06:07.820,Brazil,João Miranda de Souza Filho,Complete,58.0,34.0
pass,1,00:06:10.700,Brazil,José Paulo Bezzera Maciel Júnior,Complete,54.0,42.0
pass,1,00:06:16.835,Brazil,Thiago Emiliano da Silva,Complete,54.0,50.0
pass,1,00:06:20.220,Brazil,João Miranda de Souza Filho,Complete,54.0,31.0
pass,1,00:06:23.180,Brazil,Thiago Emiliano da Silva,Complete,54.0,52.0
pass,1,00:06:25.740,Brazil,Fernando Luiz Rosa,Complete,67.0,36.0
pass,1,00:06:32.140,Brazil,Philippe Coutinho Correia,Complete,94.0,17.0
pass,1,00:06:34.220,Brazil,Neymar da Silva Santos Junior,Complete,92.0,14.0
pass,1,00:06:38.740,Brazil,Marcelo Vieira da Silva Júnior,Incomplete,113.0,14.0
pass,1,00:07:10.673,Brazil,Neymar da Silva Santos Junior,Complete,119.0,2.0
pass,1,00:07:19.220,Belgium,Thibaut Courtois,Complete,18.0,42.0
pass,1,00:07:29.780,Belgium,Romelu Lukaku Menama,Incomplete,115.0,16.0
pass,1,00:07:31.660,Belgium,Kevin De Bruyne,Complete,112.0,32.0
pass,1,00:08:05.300,Brazil,Willian Borges da Silva,Complete,45.0,67.0
pass,1,00:08:10.580,Brazil,Thiago Emiliano da Silva,Complete,17.0,55.0
pass,1,00:08:18.820,Brazil,João Miranda de Souza Filho,Complete,42.0,26.0
pass,1,00:08:27.860,Brazil,Neymar da Silva Santos Junior,Complete,54.0,29.0
pass,1,00:08:30.420,Brazil,João Miranda de Souza Filho,Complete,39.0,27.0
pass,1,00:08:32.660,Brazil,Thiago Emiliano da Silva,Complete,39.0,45.0
pass,1,00:08:35.753,Brazil,Philippe Coutinho Correia,Complete,44.0,35.0
pass,1,00:08:37.660,Brazil,Thiago Emiliano da Silva,Complete,40.0,49.0
pass,1,00:08:40.940,Brazil,Fágner Conserva Lemos,Complete,46.0,76.0
pass,1,00:08:46.620,Brazil,Thiago Emiliano da Silva,Complete,50.0,51.0
pass,1,00:08:51.140,Brazil,João Miranda de Souza Filho,Complete,54.0,30.0
pass,1,00:08:56.380,Brazil,Neymar da Silva Santos Junior,Complete,90.0,18.0
pass,1,00:09:00.260,Brazil,Philippe Coutinho Correia,Complete,96.0,20.0
pass,1,00:09:03.393,Brazil,Marcelo Vieira da Silva Júnior,Incomplete,116.0,9.0
pass,1,00:09:11.740,Brazil,Gabriel Fernando de Jesus,Complete,107.0,53.0
pass,1,00:09:49.300,Brazil,Willian Borges da Silva,Complete,119.0,80.0
pass,1,00:09:56.780,Brazil,Marcelo Vieira da Silva Júnior,Complete,65.0,29.0
pass,1,00:10:01.740,Brazil,Neymar da Silva Santos Junior,Incomplete,98.0,17.0
pass,1,00:10:07.660,Belgium,Eden Hazard,Complete,32.0,74.0
pass,1,00:10:30.780,Belgium,Vincent Kompany,Complete,26.0,34.0
pass,1,00:10:32.980,Belgium,Jan Vertonghen,Complete,27.0,23.0
pass,1,00:10:35.660,Belgium,Vincent Kompany,Complete,25.0,45.0
pass,1,00:10:40.140,Belgium,Toby Alderweireld,Complete,25.0,61.0
pass,1,00:10:42.300,Belgium,Vincent Kompany,Complete,20.0,42.0
pass,1,00:10:45.580,Belgium,Thomas Meunier,Complete,43.0,80.0
pass,1,00:10:48.300,Belgium,Marouane Fellaini-Bakkioui,Complete,40.0,64.0
pass,1,00:10:55.940,Belgium,Gabriel Fernando de Jesus,Incomplete,89.0,35.0
pass,1,00:11:06.700,Belgium,Eden Hazard,Complete,40.0,78.0
pass,1,00:11:12.220,Belgium,Axel Witsel,Complete,39.0,56.0
pass,1,00:11:18.020,Belgium,Jan Vertonghen,Complete,46.0,23.0
pass,1,00:11:20.473,Belgium,Vincent Kompany,Complete,39.0,32.0
pass,1,00:11:26.540,Belgium,Toby Alderweireld,Complete,44.0,56.0
pass,1,00:11:29.260,Belgium,Jan Vertonghen,Complete,40.0,14.0
pass,1,00:11:42.540,Belgium,Nacer Chadli,Complete,88.0,1.0
pass,1,00:11:43.100,Belgium,Kevin De Bruyne,Complete,85.0,17.0
pass,1,00:11:44.620,Belgium,Nacer Chadli,Complete,87.0,4.0
pass,1,00:11:47.673,Belgium,Jan Vertonghen,Complete,66.0,3.0
pass,1,00:11:52.460,Belgium,Toby Alderweireld,Complete,54.0,46.0
pass,1,00:11:53.340,Belgium,Marouane Fellaini-Bakkioui,Complete,61.0,46.0
pass,1,00:11:55.460,Belgium,Vincent Kompany,Complete,47.0,34.0
pass,1,00:11:57.620,Belgium,Jan Vertonghen,Complete,49.0,16.0
pass,1,00:11:58.620,Belgium,Nacer Chadli,Complete,70.0,3.0
pass,1,00:12:01.060,Belgium,Romelu Lukaku Menama,Complete,73.0,20.0
pass,1,00:12:02.500,Belgium,Kevin De Bruyne,Complete,73.0,31.0
pass,1,00:12:47.740,Belgium,Nacer Chadli,Incomplete,120.0,2.0
pass,1,00:13:45.553,Brazil,Fernando Luiz Rosa,Complete,46.0,41.0
pass,1,00:13:49.060,Brazil,José Paulo Bezzera Maciel Júnior,Complete,55.0,44.0
pass,1,00:13:55.980,Brazil,Philippe Coutinho Correia,Complete,63.0,37.0
pass,1,00:13:58.393,Brazil,José Paulo Bezzera Maciel Júnior,Complete,58.0,52.0
pass,1,00:14:00.660,Brazil,Fágner Conserva Lemos,Complete,54.0,66.0
pass,1,00:14:04.420,Brazil,Thiago Emiliano da Silva,Complete,57.0,52.0
pass,1,00:14:13.500,Brazil,Neymar da Silva Santos Junior,Complete,91.0,17.0
pass,1,00:14:15.820,Brazil,Fernando Luiz Rosa,Complete,83.0,40.0
pass,1,00:14:20.220,Brazil,Willian Borges da Silva,Incomplete,111.0,66.0
pass,1,00:14:25.820,Brazil,Marcelo Vieira da Silva Júnior,Complete,100.0,10.0
pass,1,00:14:31.660,Brazil,Philippe Coutinho Correia,Complete,92.0,18.0
pass,1,00:14:33.340,Brazil,Marcelo Vieira da Silva Júnior,Complete,102.0,10.0
pass,1,00:14:37.500,Brazil,Neymar da Silva Santos Junior,Complete,119.0,26.0
pass,1,00:14:39.980,Brazil,Nacer Chadli,Complete,9.0,44.0
pass,1,00:14:49.820,Brazil,Marcelo Vieira da Silva Júnior,Complete,81.0,13.0
